action,nest,frame_number,track_id,ml_confidence,timestamp,site,video_date,video_time,video_datetime,video_hour,video_name,source_file,seconds_in_video,event_datetime
Entry,60,8651,150,0.7982188408840929,2024-04-23 11:54:48.366667,natalies,2024-04-23,11:50:00,2024-04-23 11:50:00,11,natalies_2024-04-23_11_50_00,natalies_2024-04-23_11_50_00_events.csv,288.3666666666667,2024-04-23 11:54:48.366667
Exit,60,9080,168,0.6616324489746109,2024-04-23 11:55:02.666667,natalies,2024-04-23,11:50:00,2024-04-23 11:50:00,11,natalies_2024-04-23_11_50_00,natalies_2024-04-23_11_50_00_events.csv,302.6666666666667,2024-04-23 11:55:02.666667
Entry,60,9364,168,0.6163525625270483,2024-04-23 11:55:12.133333,natalies,2024-04-23,11:50:00,2024-04-23 11:50:00,11,natalies_2024-04-23_11_50_00,natalies_2024-04-23_11_50_00_events.csv,312.1333333333333,2024-04-23 11:55:12.133333
Exit,60,9581,170,0.765744580820099,2024-04-23 11:55:19.366667,natalies,2024-04-23,11:50:00,2024-04-23 11:50:00,11,natalies_2024-04-23_11_50_00,natalies_2024-04-23_11_50_00_events.csv,319.3666666666667,2024-04-23 11:55:19.366667
Entry,60,9738,170,0.7440820527468267,2024-04-23 11:55:24.600000,natalies,2024-04-23,11:50:00,2024-04-23 11:50:00,11,natalies_2024-04-23_11_50_00,natalies_2024-04-23_11_50_00_events.csv,324.6,2024-04-23 11:55:24.600000
Exit,60,10346,173,0.69954889089457,2024-04-23 11:55:44.866667,natalies,2024-04-23,11:50:00,2024-04-23 11:50:00,11,natalies_2024-04-23_11_50_00,natalies_2024-04-23_11_50_00_events.csv,344.8666666666667,2024-04-23 11:55:44.866667
Entry,60,10577,173,0.6542690044470072,2024-04-23 11:55:52.566667,natalies,2024-04-23,11:50:00,2024-04-23 11:50:00,11,natalies_2024-04-23_11_50_00,natalies_2024-04-23_11_50_00_events.csv,352.56666666666666,2024-04-23 11:55:52.566667
Exit,60,11896,198,0.6353958564155636,2024-04-23 11:56:36.533333,natalies,2024-04-23,11:50:00,2024-04-23 11:50:00,11,natalies_2024-04-23_11_50_00,natalies_2024-04-23_11_50_00_events.csv,396.53333333333336,2024-04-23 11:56:36.533333
Entry,60,11987,198,0.6316813822123519,2024-04-23 11:56:39.566667,natalies,2024-04-23,11:50:00,2024-04-23 11:50:00,11,natalies_2024-04-23_11_50_00,natalies_2024-04-23_11_50_00_events.csv,399.56666666666666,2024-04-23 11:56:39.566667
Exit,60,17216,253,0.627968598967984,2024-04-23 11:59:33.866667,natalies,2024-04-23,11:50:00,2024-04-23 11:50:00,11,natalies_2024-04-23_11_50_00,natalies_2024-04-23_11_50_00_events.csv,573.8666666666667,2024-04-23 11:59:33.866667
Exit,17,5096,3,0.8045013371403779,2024-04-23 12:02:49.866667,natalies,2024-04-23,12:00:00,2024-04-23 12:00:00,12,natalies_2024-04-23_12_00_00,natalies_2024-04-23_12_00_00_events.csv,169.86666666666667,2024-04-23 12:02:49.866667
Entry,17,5111,3,0.7212375321174669,2024-04-23 12:02:50.366667,natalies,2024-04-23,12:00:00,2024-04-23 12:00:00,12,natalies_2024-04-23_12_00_00,natalies_2024-04-23_12_00_00_events.csv,170.36666666666667,2024-04-23 12:02:50.366667
Exit,56,1348,3,0.7624594396530558,2024-04-23 13:10:44.933333,natalies,2024-04-23,13:10:00,2024-04-23 13:10:00,13,natalies_2024-04-23_13_10_00,natalies_2024-04-23_13_10_00_events.csv,44.93333333333333,2024-04-23 13:10:44.933333
Exit,33,14012,17,0.8113253775748938,2024-04-23 13:17:47.066667,natalies,2024-04-23,13:10:00,2024-04-23 13:10:00,13,natalies_2024-04-23_13_10_00,natalies_2024-04-23_13_10_00_events.csv,467.06666666666666,2024-04-23 13:17:47.066667
Entry,33,14027,17,0.7232033440832789,2024-04-23 13:17:47.566667,natalies,2024-04-23,13:10:00,2024-04-23 13:10:00,13,natalies_2024-04-23_13_10_00,natalies_2024-04-23_13_10_00_events.csv,467.56666666666666,2024-04-23 13:17:47.566667
Entry,36,6013,20,0.6273692557407442,2024-04-23 13:33:21.433333,natalies,2024-04-23,13:30:01,2024-04-23 13:30:01,13,natalies_2024-04-23_13_30_01,natalies_2024-04-23_13_30_01_events.csv,200.43333333333334,2024-04-23 13:33:21.433333
Exit,59,7831,30,0.7189059275829376,2024-04-23 13:34:22.033333,natalies,2024-04-23,13:30:01,2024-04-23 13:30:01,13,natalies_2024-04-23_13_30_01,natalies_2024-04-23_13_30_01_events.csv,261.03333333333336,2024-04-23 13:34:22.033333
Exit,58,8044,35,0.8064671491061898,2024-04-23 13:34:29.133333,natalies,2024-04-23,13:30:01,2024-04-23 13:30:01,13,natalies_2024-04-23_13_30_01,natalies_2024-04-23_13_30_01_events.csv,268.1333333333333,2024-04-23 13:34:29.133333
Entry,58,8059,35,0.7232033440832789,2024-04-23 13:34:29.633333,natalies,2024-04-23,13:30:01,2024-04-23 13:30:01,13,natalies_2024-04-23_13_30_01,natalies_2024-04-23_13_30_01_events.csv,268.6333333333333,2024-04-23 13:34:29.633333
Entry,39,10275,52,0.993281201846844,2024-04-23 13:35:43.500000,natalies,2024-04-23,13:30:01,2024-04-23 13:30:01,13,natalies_2024-04-23_13_30_01,natalies_2024-04-23_13_30_01_events.csv,342.5,2024-04-23 13:35:43.500000
Exit,39,11067,58,0.7355314803574394,2024-04-23 13:36:09.900000,natalies,2024-04-23,13:30:01,2024-04-23 13:30:01,13,natalies_2024-04-23_13_30_01,natalies_2024-04-23_13_30_01_events.csv,368.9,2024-04-23 13:36:09.900000
Entry,11,11713,63,0.991961299526942,2024-04-23 13:36:31.433333,natalies,2024-04-23,13:30:01,2024-04-23 13:30:01,13,natalies_2024-04-23_13_30_01,natalies_2024-04-23_13_30_01_events.csv,390.43333333333334,2024-04-23 13:36:31.433333
Exit,11,12625,66,0.91114430157546,2024-04-23 13:37:01.833333,natalies,2024-04-23,13:30:01,2024-04-23 13:30:01,13,natalies_2024-04-23_13_30_01,natalies_2024-04-23_13_30_01_events.csv,420.8333333333333,2024-04-23 13:37:01.833333
Entry,58,13902,71,0.7319835806856025,2024-04-23 13:37:44.400000,natalies,2024-04-23,13:30:01,2024-04-23 13:30:01,13,natalies_2024-04-23_13_30_01,natalies_2024-04-23_13_30_01_events.csv,463.4,2024-04-23 13:37:44.400000
Entry,48,17400,40,0.662399966943635,2024-04-23 13:59:40,natalies,2024-04-23,13:50:00,2024-04-23 13:50:00,13,natalies_2024-04-23_13_50_00,natalies_2024-04-23_13_50_00_events.csv,580.0,2024-04-23 13:59:40.000000
Entry,21,10478,40,0.6827344426686657,2024-04-23 14:05:50.266667,natalies,2024-04-23,14:00:01,2024-04-23 14:00:01,14,natalies_2024-04-23_14_00_01,natalies_2024-04-23_14_00_01_events.csv,349.26666666666665,2024-04-23 14:05:50.266667
Exit,58,6710,20,0.6619811335932012,2024-04-23 14:13:43.666667,natalies,2024-04-23,14:10:00,2024-04-23 14:10:00,14,natalies_2024-04-23_14_10_00,natalies_2024-04-23_14_10_00_events.csv,223.66666666666666,2024-04-23 14:13:43.666667
Exit,57,7488,28,0.6885517863238236,2024-04-23 14:14:09.600000,natalies,2024-04-23,14:10:00,2024-04-23 14:10:00,14,natalies_2024-04-23_14_10_00,natalies_2024-04-23_14_10_00_events.csv,249.6,2024-04-23 14:14:09.600000
Exit,52,10742,36,0.8148856659568294,2024-04-23 14:15:58.066667,natalies,2024-04-23,14:10:00,2024-04-23 14:10:00,14,natalies_2024-04-23_14_10_00,natalies_2024-04-23_14_10_00_events.csv,358.06666666666666,2024-04-23 14:15:58.066667
Entry,8,11093,30,0.9866476962527918,2024-04-23 14:36:09.766667,natalies,2024-04-23,14:30:00,2024-04-23 14:30:00,14,natalies_2024-04-23_14_30_00,natalies_2024-04-23_14_30_00_events.csv,369.76666666666665,2024-04-23 14:36:09.766667
Exit,8,12697,42,0.9466135827183838,2024-04-23 14:37:03.233333,natalies,2024-04-23,14:30:00,2024-04-23 14:30:00,14,natalies_2024-04-23_14_30_00,natalies_2024-04-23_14_30_00_events.csv,423.23333333333335,2024-04-23 14:37:03.233333
Entry,3,12857,42,0.991961973960512,2024-04-23 14:37:08.566667,natalies,2024-04-23,14:30:00,2024-04-23 14:30:00,14,natalies_2024-04-23_14_30_00,natalies_2024-04-23_14_30_00_events.csv,428.56666666666666,2024-04-23 14:37:08.566667
Exit,3,13953,50,0.8324598462156932,2024-04-23 14:37:45.100000,natalies,2024-04-23,14:30:00,2024-04-23 14:30:00,14,natalies_2024-04-23_14_30_00,natalies_2024-04-23_14_30_00_events.csv,465.1,2024-04-23 14:37:45.100000
Exit,60,16212,64,0.616048854391137,2024-04-23 14:39:00.400000,natalies,2024-04-23,14:30:00,2024-04-23 14:30:00,14,natalies_2024-04-23_14_30_00,natalies_2024-04-23_14_30_00_events.csv,540.4,2024-04-23 14:39:00.400000
Entry,56,14587,55,0.6590588290368803,2024-04-23 14:48:06.233333,natalies,2024-04-23,14:40:00,2024-04-23 14:40:00,14,natalies_2024-04-23_14_40_00,natalies_2024-04-23_14_40_00_events.csv,486.23333333333335,2024-04-23 14:48:06.233333
Entry,22,15484,70,0.6811543612151878,2024-04-23 14:48:36.133333,natalies,2024-04-23,14:40:00,2024-04-23 14:40:00,14,natalies_2024-04-23_14_40_00,natalies_2024-04-23_14_40_00_events.csv,516.1333333333333,2024-04-23 14:48:36.133333
Entry,36,17431,82,0.6701261335691724,2024-04-23 14:49:41.033333,natalies,2024-04-23,14:40:00,2024-04-23 14:40:00,14,natalies_2024-04-23_14_40_00,natalies_2024-04-23_14_40_00_events.csv,581.0333333333333,2024-04-23 14:49:41.033333
Entry,22,1682,10,0.6480937927055317,2024-04-23 14:50:57.066667,natalies,2024-04-23,14:50:01,2024-04-23 14:50:01,14,natalies_2024-04-23_14_50_01,natalies_2024-04-23_14_50_01_events.csv,56.06666666666667,2024-04-23 14:50:57.066667
